Filename,Scene Complexity,Base Threshold,Adaptive Threshold,Threshold Change,Standard Objects,Adaptive Objects,Object Count Diff,Standard Time (s),Adaptive Time (s),Speed Improvement
000000000328.jpg,0.7810532654286837,0.25,0.2540698162570792,0.004069816257079195,8,8,0,0.43062496185302734,0.044174909591674805,9.748179811423606
000000000389.jpg,0.9112178382002469,0.25,0.18030989168652672,-0.06969010831347328,9,11,2,0.02558279037475586,0.0246121883392334,1.0394358283848844
000000000034.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.022974014282226562,0.02100825309753418,1.0935709016626
000000000459.jpg,0.676675627734624,0.25,0.1445802733252161,-0.10541972667478389,2,2,0,0.02997112274169922,0.0282590389251709,1.0605853518607575
000000000074.jpg,0.8906890595608519,0.25,0.19194286624885057,-0.05805713375114943,7,7,0,0.02099895477294922,0.022305011749267578,0.9414455822305834
000000000151.jpg,0.6186169356107711,0.25,0.17836312686439956,-0.07163687313560044,1,1,0,0.023457050323486328,0.02405714988708496,0.9750552510827231
000000000165.jpg,0.5946156899095988,0.25,0.19128251337560243,-0.058717486624397575,3,5,2,0.024205923080444336,0.024096012115478516,1.0045613757346685
000000000192.jpg,0.6903169762158022,0.25,0.13612311715794828,-0.11387688284205172,6,7,1,0.021967172622680664,0.021294116973876953,1.0316075867165282
000000000562.jpg,0.6561807498335839,0.25,0.156914704679606,-0.093085295320394,3,3,0,0.019969940185546875,0.01901102066040039,1.0504401916275803
000000000536.jpg,0.7709475303345488,0.25,0.259796399477089,0.00979639947708899,4,4,0,0.02183222770690918,0.02349114418029785,0.9293811974139593
000000000597.jpg,0.5506743651403917,0.25,0.21334920257156825,-0.03665079742843175,7,7,0,0.014756917953491211,0.01489877700805664,0.990478476556249
000000000436.jpg,0.6945095463186443,0.25,0.13348414964724992,-0.11651585035275008,3,4,1,0.020027875900268555,0.06471395492553711,0.3094831079836422
000000000257.jpg,0.9800757169723511,0.25,0.14129042625427246,-0.10870957374572754,19,28,9,0.034631967544555664,0.07703995704650879,0.449532539635873
000000000360.jpg,0.4426016686946094,0.25,0.2588940513228242,0.008894051322824226,1,1,0,0.03542804718017578,0.02396702766418457,1.4781994528724198
000000000508.jpg,0.10091510807396845,0.25,0.28318081532100525,0.03318081532100525,0,0,0,0.03054499626159668,0.04335308074951172,0.7045634527816274
000000000446.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,4,18,14,0.03503012657165527,0.029835939407348633,1.1740916246473978
000000000564.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,27,40,13,0.03420400619506836,0.029961109161376953,1.1416134833606544
000000000623.jpg,0.7491171669029818,0.25,0.27216693875497694,0.02216693875497694,2,2,0,0.08705472946166992,0.1288907527923584,0.6754148577432405
000000000620.jpg,0.7249179195427523,0.25,0.28587984559244034,0.03587984559244034,1,1,0,0.043081045150756836,0.021914958953857422,1.9658282382123198
000000000260.jpg,0.727344298362732,0.25,0.28450489759445186,0.034504897594451855,6,6,0,0.02039504051208496,0.021357059478759766,0.9549554578133024
000000000472.jpg,0.11299041509628296,0.25,0.2811682641506195,0.031168264150619518,1,1,0,0.013767004013061523,0.013476133346557617,1.0215841338923979
000000000309.jpg,0.6587181682349658,0.25,0.1554118170072124,-0.0945881829927876,2,4,2,0.03372001647949219,0.02997422218322754,1.1249671892523923
000000000078.jpg,0.5495188187622653,0.25,0.2139018167761194,-0.03609818322388059,3,3,0,0.028901100158691406,0.0280611515045166,1.029932793529147
000000000581.jpg,0.6247400020241617,0.25,0.1749692129589565,-0.07503078704104349,1,1,0,0.026385068893432617,0.026433944702148438,0.9981510209971859
000000000450.jpg,0.7697023686945318,0.25,0.2605019910730986,0.010501991073098627,5,5,0,0.022657155990600586,0.021755218505859375,1.0414584429247764
000000000077.jpg,0.7459037019401729,0.25,0.273987902233902,0.023987902233902014,7,6,-1,0.023407936096191406,0.02193617820739746,1.0670927212059953
000000000419.jpg,0.541738296905154,0.25,0.21758574093139624,-0.03241425906860376,2,2,0,0.0218048095703125,0.02184128761291504,0.9983298584200242
000000000127.jpg,0.9807354922057604,0.25,0.14091655441673576,-0.10908344558326424,8,12,4,0.02280712127685547,0.022439956665039062,1.0163620909477262
000000000357.jpg,0.5925473939442264,0.25,0.19236719063183655,-0.05763280936816345,8,8,0,0.013335943222045898,0.013447046279907227,0.99173773514654
000000000634.jpg,0.8181291829609499,0.25,0.23306012965546166,-0.016939870344538338,6,7,1,0.020573139190673828,0.020740270614624023,0.9919416951178858
